path,mask,sex,age,id
../input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,1,1,1,000001
../input/data/train/images/000001_female_Asian_45/mask5.jpg,0,1,1,000001
../input/data/train/images/000001_female_Asian_45/mask4.jpg,0,1,1,000001
../input/data/train/images/000001_female_Asian_45/mask2.jpg,0,1,1,000001
../input/data/train/images/000001_female_Asian_45/mask3.jpg,0,1,1,000001
../input/data/train/images/000001_female_Asian_45/normal.jpg,2,1,1,000001
../input/data/train/images/000001_female_Asian_45/mask1.jpg,0,1,1,000001
../input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,1,1,1,000002
../input/data/train/images/000002_female_Asian_52/mask5.jpg,0,1,1,000002
../input/data/train/images/000002_female_Asian_52/mask4.jpg,0,1,1,000002
../input/data/train/images/000002_female_Asian_52/mask2.jpg,0,1,1,000002
../input/data/train/images/000002_female_Asian_52/mask3.jpg,0,1,1,000002
../input/data/train/images/000002_female_Asian_52/normal.jpg,2,1,1,000002
../input/data/train/images/000002_female_Asian_52/mask1.jpg,0,1,1,000002
../input/data/train/images/000004_male_Asian_54/incorrect_mask.jpg,1,0,1,000004
../input/data/train/images/000004_male_Asian_54/mask5.jpg,0,0,1,000004
../input/data/train/images/000004_male_Asian_54/mask4.jpg,0,0,1,000004
../input/data/train/images/000004_male_Asian_54/mask2.jpg,0,0,1,000004
../input/data/train/images/000004_male_Asian_54/mask3.jpg,0,0,1,000004
../input/data/train/images/000004_male_Asian_54/normal.jpg,2,0,1,000004
../input/data/train/images/000004_male_Asian_54/mask1.jpg,0,0,1,000004
../input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg,1,1,1,000005
../input/data/train/images/000005_female_Asian_58/mask5.jpg,0,1,1,000005
../input/data/train/images/000005_female_Asian_58/mask4.jpg,0,1,1,000005
../input/data/train/images/000005_female_Asian_58/mask2.jpg,0,1,1,000005
../input/data/train/images/000005_female_Asian_58/mask3.jpg,0,1,1,000005
../input/data/train/images/000005_female_Asian_58/normal.jpg,2,1,1,000005
../input/data/train/images/000005_female_Asian_58/mask1.jpg,0,1,1,000005
../input/data/train/images/000006_female_Asian_59/incorrect_mask.jpg,1,1,1,000006
../input/data/train/images/000006_female_Asian_59/mask5.jpg,0,1,1,000006
../input/data/train/images/000006_female_Asian_59/mask4.jpg,0,1,1,000006
../input/data/train/images/000006_female_Asian_59/mask2.jpg,0,1,1,000006
../input/data/train/images/000006_female_Asian_59/mask3.jpg,0,1,1,000006
../input/data/train/images/000006_female_Asian_59/normal.jpg,2,1,1,000006
../input/data/train/images/000006_female_Asian_59/mask1.jpg,0,1,1,000006
../input/data/train/images/000007_female_Asian_58/incorrect_mask.jpg,1,1,1,000007
../input/data/train/images/000007_female_Asian_58/mask5.jpg,0,1,1,000007
../input/data/train/images/000007_female_Asian_58/mask4.jpg,0,1,1,000007
../input/data/train/images/000007_female_Asian_58/mask2.jpg,0,1,1,000007
../input/data/train/images/000007_female_Asian_58/mask3.jpg,0,1,1,000007
../input/data/train/images/000007_female_Asian_58/normal.jpg,2,1,1,000007
../input/data/train/images/000007_female_Asian_58/mask1.jpg,0,1,1,000007
../input/data/train/images/000008_female_Asian_58/incorrect_mask.jpg,1,1,1,000008
../input/data/train/images/000008_female_Asian_58/mask5.jpg,0,1,1,000008
../input/data/train/images/000008_female_Asian_58/mask4.jpg,0,1,1,000008
../input/data/train/images/000008_female_Asian_58/mask2.jpg,0,1,1,000008
../input/data/train/images/000008_female_Asian_58/mask3.jpg,0,1,1,000008
../input/data/train/images/000008_female_Asian_58/normal.jpg,2,1,1,000008
../input/data/train/images/000008_female_Asian_58/mask1.jpg,0,1,1,000008
../input/data/train/images/000009_female_Asian_56/incorrect_mask.jpg,1,1,1,000009
../input/data/train/images/000009_female_Asian_56/mask5.jpg,0,1,1,000009
../input/data/train/images/000009_female_Asian_56/mask4.jpg,0,1,1,000009
../input/data/train/images/000009_female_Asian_56/mask2.jpg,0,1,1,000009
../input/data/train/images/000009_female_Asian_56/mask3.jpg,0,1,1,000009
../input/data/train/images/000009_female_Asian_56/normal.jpg,2,1,1,000009
../input/data/train/images/000009_female_Asian_56/mask1.jpg,0,1,1,000009
../input/data/train/images/000010_female_Asian_58/incorrect_mask.jpg,1,1,1,000010
../input/data/train/images/000010_female_Asian_58/mask5.jpg,0,1,1,000010
../input/data/train/images/000010_female_Asian_58/mask4.jpg,0,1,1,000010
../input/data/train/images/000010_female_Asian_58/mask2.jpg,0,1,1,000010
