,path,mask,sex,age
0,../input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,1,1,1
1,../input/data/train/images/000001_female_Asian_45/mask5.jpg,0,1,1
2,../input/data/train/images/000001_female_Asian_45/mask4.jpg,0,1,1
3,../input/data/train/images/000001_female_Asian_45/mask2.jpg,0,1,1
4,../input/data/train/images/000001_female_Asian_45/mask3.jpg,0,1,1
5,../input/data/train/images/000001_female_Asian_45/normal.jpg,2,1,1
6,../input/data/train/images/000001_female_Asian_45/mask1.jpg,0,1,1
7,../input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,1,1,1
8,../input/data/train/images/000002_female_Asian_52/mask5.jpg,0,1,1
9,../input/data/train/images/000002_female_Asian_52/mask4.jpg,0,1,1
10,../input/data/train/images/000002_female_Asian_52/mask2.jpg,0,1,1
11,../input/data/train/images/000002_female_Asian_52/mask3.jpg,0,1,1
12,../input/data/train/images/000002_female_Asian_52/normal.jpg,2,1,1
13,../input/data/train/images/000002_female_Asian_52/mask1.jpg,0,1,1
14,../input/data/train/images/000004_male_Asian_54/incorrect_mask.jpg,1,0,1
15,../input/data/train/images/000004_male_Asian_54/mask5.jpg,0,0,1
16,../input/data/train/images/000004_male_Asian_54/mask4.jpg,0,0,1
17,../input/data/train/images/000004_male_Asian_54/mask2.jpg,0,0,1
18,../input/data/train/images/000004_male_Asian_54/mask3.jpg,0,0,1
19,../input/data/train/images/000004_male_Asian_54/normal.jpg,2,0,1
20,../input/data/train/images/000004_male_Asian_54/mask1.jpg,0,0,1
21,../input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg,1,1,1
22,../input/data/train/images/000005_female_Asian_58/mask5.jpg,0,1,1
23,../input/data/train/images/000005_female_Asian_58/mask4.jpg,0,1,1
24,../input/data/train/images/000005_female_Asian_58/mask2.jpg,0,1,1
25,../input/data/train/images/000005_female_Asian_58/mask3.jpg,0,1,1
26,../input/data/train/images/000005_female_Asian_58/normal.jpg,2,1,1
27,../input/data/train/images/000005_female_Asian_58/mask1.jpg,0,1,1
28,../input/data/train/images/000006_female_Asian_59/incorrect_mask.jpg,1,1,1
29,../input/data/train/images/000006_female_Asian_59/mask5.jpg,0,1,1
30,../input/data/train/images/000006_female_Asian_59/mask4.jpg,0,1,1
31,../input/data/train/images/000006_female_Asian_59/mask2.jpg,0,1,1
32,../input/data/train/images/000006_female_Asian_59/mask3.jpg,0,1,1
33,../input/data/train/images/000006_female_Asian_59/normal.jpg,2,1,1
34,../input/data/train/images/000006_female_Asian_59/mask1.jpg,0,1,1
35,../input/data/train/images/000007_female_Asian_58/incorrect_mask.jpg,1,1,1
36,../input/data/train/images/000007_female_Asian_58/mask5.jpg,0,1,1
37,../input/data/train/images/000007_female_Asian_58/mask4.jpg,0,1,1
38,../input/data/train/images/000007_female_Asian_58/mask2.jpg,0,1,1
39,../input/data/train/images/000007_female_Asian_58/mask3.jpg,0,1,1
40,../input/data/train/images/000007_female_Asian_58/normal.jpg,2,1,1
